altitude,desired_yaw,distance,fl,fr,pitch,pitch_dist,pitch_input,pitch_rate,rl,roll,roll_dist,roll_input,roll_rate,rr,t,target_altitude,v_fwd,v_left,vertical_input,vx,vy,vz,x,y,yaw,yaw_err,yaw_input,yaw_rate
0.06243464668848189,-2.5460229742973737e-08,0.0,67.70919093336342,67.70934439426294,-0.06187942967896694,-0.0,-3.790732336186826,-1.934349445817818,75.29065524519028,9.468965862933445e-07,0.0,7.691072314568783e-05,2.956589383102061e-05,75.29080942718336,0.032,2.0,0.0,0.0,3.0,0.0,0.0,0.0,-22.894478447096347,-6.866807794411309e-08,-2.5460229742973737e-08,0.0,-1.8027339600549862e-07,1.2018226400366574e-07
0.06463073039006412,-2.5460229742973737e-08,0.0014841433208556245,70.79581869927044,70.79605640695381,-0.038609832414858374,0.07016287545076182,-0.36092436851564746,0.7272077284793419,71.51767433339516,1.755206673035689e-06,2.44748899411968e-06,0.00011540529497814229,2.5197472332238168e-05,71.5178982468917,0.064,2.0,0.046379478748520504,-1.6178536449759916e-06,2.6568619216277773,0.04637947874841508,-1.6208729394640915e-06,0.0686276156744445,-22.892994303776398,-1.2053601200696402e-07,-6.509979347707995e-08,3.9639563734106216e-08,3.4485467136525098e-06,-2.219752014966794e-06
0.06329868995768526,-2.5460229742973737e-08,0.0007537956222857231,68.45571246161792,68.45597710549164,-0.07107836318199,-0.10520490594383809,-3.2522865340044143,-1.014730732600876,74.96028772599736,2.2726184480188825e-06,1.5628268967717038e-06,0.00013122375154688159,1.6030002249165756e-05,74.96054797712985,0.096,2.0,-0.06993559179787205,-1.0194120671442942e-06,3.208131317559197,-0.06993559179802045,-1.0091804945124297e-06,-0.04162626351183942,-22.895232242713934,-1.5282978783136177e-07,-1.4629993639611812e-07,1.208397066531444e-07,1.0981853027311705e-06,-4.904441218478248e-07
0.06445277844505679,-2.5460229742973737e-08,2.4718231090300957e-05,69.95263790701424,69.95287896748138,-0.059177488850287126,0.03650271658014992,-1.3669152366003883,0.37190671232807554,72.68647308284622,2.3264991074599087e-06,1.9903741324022294e-07,0.00011817891797689086,1.6549251906552068e-06,72.68670473805096,0.128,2.0,0.024328552900039303,-1.092836732165747e-07,2.8196736738481984,0.02432855290002145,-1.1318798353245143e-07,0.0360652652303603,-22.894453729021134,-1.5645180330440022e-07,-1.6048263667469755e-07,1.3502240693172382e-07,2.3513156036752223e-06,-1.297498921920034e-06
0.06210987761307153,-2.5460229742973737e-08,0.0030431404017192513,67.19113095611266,67.19144302402802,-0.1041441280675321,-0.1450231221692675,-4.674791264927349,-1.4054443007321185,76.54071729665043,2.7811162417905095e-06,1.2189706926093382e-06,0.00015412861614391062,1.3853833361775813e-05,76.54102174319965,0.16,2.0,-0.09587057733961088,-7.825622407899292e-07,3.3660782549976958,-0.0958705773398405,-7.539054711518405e-07,-0.07321565099953917,-22.89752158749601,-1.8057677838125912e-07,-2.9891099473137327e-07,2.7345076498839954e-07,1.905341527555296e-06,-7.233261550600648e-07
0.06358720838782966,-2.5460229742973737e-08,0.0016971195875963706,69.3948139594048,69.39509548355885,-0.08475348917867416,0.062415877900965124,-1.87421234496222,0.6059764524970398,73.14324634522772,2.755562953915053e-06,-3.5141052703958687e-08,0.00013691412778482197,-8.288788582267187e-07,73.14351247758479,0.192,2.0,0.04206315048969848,5.306776460179049e-08,2.7691670664440418,0.042063150489712875,4.0061637834962104e-08,0.04616658671119161,-22.896175566680338,-1.7929480597054033e-07,-3.092047698617189e-07,2.8374454011874515e-07,3.847949238650194e-06,-1.997810412195972e-06
0.06399166090533921,-2.5460229742973737e-08,0.0014951832794541735,69.08607469564808,69.08642550933334,-0.08176275084743621,0.008867691264055908,-2.3505541916484343,0.09346064251059674,73.78718943664683,3.164470746530602e-06,1.326072830352461e-06,0.00017222799168196412,1.267838152508155e-05,73.7875275349283,0.224,2.0,0.006310509715518766,-8.471616328042705e-07,2.936804294139133,0.006310509715223844,-8.493556635788066e-07,0.012639141172173397,-22.89597363036945,-2.0647418720506214e-07,-3.476788521839893e-07,3.2221862244101555e-07,3.1788509515695105e-06,-1.4747967228309758e-06
0.06430950399822544,-2.5460229742973737e-08,0.0013388450402217942,69.1467327790646,69.14711829495026,-0.07943331091823289,0.0067928171175681085,-2.303411479729086,0.07279503070033287,73.75356228499156,3.5353531114540286e-06,1.2251825946514836e-06,0.00018948470843742167,1.1491870270068748e-05,73.75393470793968,0.256,2.0,0.004885570086454382,-7.732871955209248e-07,2.9503370167365275,0.004885570086154978,-7.751764995050783e-07,0.009932596652694522,-22.895817292126694,-2.3127983518922465e-07,-3.867110594625675e-07,3.6125082971959374e-07,3.2732343787029605e-06,-1.4596545930294527e-06
0.06456350382611452,-2.5460229742973737e-08,0.0012143556865680802,69.19660572065439,69.19701963085944,-0.07756964131522869,0.005349696375209003,-2.263499851135425,0.05823969194622661,73.72361180339558,3.855429933751255e-06,1.0788658435607267e-06,0.0002037648673505531,9.914504819429615e-06,73.72401295265993,0.288,2.0,0.0038902924294818403,-6.700124500408214e-07,2.960312526892331,0.003890292429198361,-6.716563995567476e-07,0.007937494621533796,-22.89569280276896,-2.5277283997504057e-07,-4.2257736295808185e-07,3.971171332151081e-07,3.190235175496803e-06,-1.3325891839009856e-06
0.06476656406986628,-2.5460229742973737e-08,0.0011151215877981523,69.23652637324027,69.23696482128555,-0.07607809125470748,0.004205549962332876,-2.23152623965087,0.04661094802802153,73.6995851144843,4.131719350871202e-06,9.531069745216293e-07,0.00021609305150747485,8.553976989393133e-06,73.70001103864503,0.32,2.0,0.003101065726694981,-5.812027961962679e-07,2.9682718369137877,0.0031010657264296526,-5.826167618185701e-07,0.006345632617242494,-22.895593568665713,-2.714165763532348e-07,-4.5596119108045574e-07,4.30500961337482e-07,3.130971132894181e-06,-1.2263121659211566e-06
